corp_code,corp_name,ticker,market,is_listed,bizr_no,jurir_no,corp_cls,extracted_at
00238913,선우중공업,068770,,False,1198105195,1101110543614,E,2026-03-14
00238977,에스엠화진,134780,,False,5058120567,1747110002646,E,2026-03-14
00239514,삼진엘앤디,054090,KOSDAQ,True,1248134479,1348110004664,K,2026-03-14
00239596,쎄니트,037760,KOSDAQ,True,6088122767,1942110018855,K,2026-03-14
00239639,삼표시멘트,038500,KOSDAQ,True,2298104571,1101110738637,K,2026-03-14
00240088,지앤에스티,036920,,False,1248135110,1101110529903,E,2026-03-14
00240370,동부씨엔아이,044640,,False,2118603751,1101111054339,E,2026-03-14
00240398,무한투자,034510,,False,3148117035,1601110057665,E,2026-03-14
00240857,바이오스마트,038460,KOSDAQ,True,2018149003,1101110414302,K,2026-03-14
00241005,코오롱ENP,138490,KOSPI,True,5108105710,1713110003504,Y,2026-03-14
00241120,세원텔레콤,036910,,False,1378111429,1201110075243,E,2026-03-14
00241209,모아텍,033200,KOSDAQ,True,1178101820,1101110613607,K,2026-03-14
00241236,에이치씨코퍼레이션,037340,,False,2208126447,1101111299125,E,2026-03-14
00242378,이지홀딩스,035810,KOSDAQ,True,2208115028,1101110565163,K,2026-03-14
00242439,케이알,035950,,False,1338127972,1101110854475,E,2026-03-14
00242712,엘컴텍,037950,KOSDAQ,True,1248115996,1348110015546,K,2026-03-14
00242934,케이엠,083550,KOSDAQ,True,2258101359,1450110000540,K,2026-03-14
00243067,부방,014470,KOSDAQ,True,1208131617,1101110265523,K,2026-03-14
00243757,인포뱅크,039290,KOSDAQ,True,1148166066,1101111166803,K,2026-03-14
00243979,수성웹툰,084180,KOSDAQ,True,1398123988,1101110313728,K,2026-03-14
00243988,에스케이브로드밴드,033630,,False,2148618758,1101111466659,E,2026-03-14
00244330,현주컴퓨터,038960,,False,1068140236,1101110886254,E,2026-03-14
00244419,디에스티,033430,,False,1268118247,1312110003976,E,2026-03-14
00244455,케이티앤지,033780,KOSPI,True,3068130866,1601110067804,Y,2026-03-14
00244561,그래디언트,035080,KOSDAQ,True,2208147821,1101111468093,K,2026-03-14
00244589,지노시스템,033850,,False,5148118385,1801110076645,E,2026-03-14
00244729,티브로드도봉강북방송,035210,,False,2108118799,1101111011909,E,2026-03-14
00244747,파크시스템스,140860,KOSDAQ,True,2148615106,1101111397648,K,2026-03-14
00244783,한네트,052600,KOSDAQ,True,1188116705,1101111402851,K,2026-03-14
00244862,룩소네이트,033880,,False,2128136191,1101111398224,E,2026-03-14
00244871,케이티프리텔,032390,,False,1108136503,1101111360405,E,2026-03-14
00244932,한아시스템,036020,,False,2208105350,1101110788236,E,2026-03-14
00245296,폴리플러스,065610,,False,4178102563,2047110001873,E,2026-03-14
00245472,티씨케이,064760,KOSDAQ,True,1258119772,1346110007844,K,2026-03-14
00245694,남화산업,111710,KOSDAQ,True,4088111016,2001110021009,K,2026-03-14
00245898,에스에이치엔엘,050320,,False,2118610077,1101111185423,E,2026-03-14
00246189,제이에스,037110,,False,1268116157,1312110003653,E,2026-03-14
00246347,태창파로스,039850,,False,2298111539,1101110830649,E,2026-03-14
00246383,메카포럼,035830,,False,2298107622,1101110857601,E,2026-03-14
00246417,이오테크닉스,039030,KOSDAQ,True,1388111553,1101110998629,K,2026-03-14
00246620,케이엘넷,039420,KOSDAQ,True,2208102504,1101111023889,K,2026-03-14
00246657,오브제,058680,,False,2038155520,1101111048960,E,2026-03-14
00246815,성진산업,037650,,False,4038108175,2149110006512,E,2026-03-14
00247762,맥시스템,036880,,False,1238139471,1101110892615,E,2026-03-14
00247887,아이피에스,051820,,False,1258118225,1347110016439,E,2026-03-14
00247902,넷컴스토리지,037010,,False,2208120104,1101110762876,E,2026-03-14
00247939,씨모스,037600,,False,1398120545,1201110118077,E,2026-03-14
00247975,솔브레인홀딩스,036830,KOSDAQ,True,2148103416,1101110610083,K,2026-03-14
00248053,지에스엔텍,037640,,False,6108106800,1812110008699,E,2026-03-14
00248123,와이즈파워,040670,,False,2118194844,1101110723670,E,2026-03-14
00248406,화림모드,045920,,False,1208163007,1101111280992,E,2026-03-14
00248691,씨제이인터넷,037150,,False,1358106099,1101110330962,E,2026-03-14
00248956,비이티,036820,,False,2198119456,1154110008154,E,2026-03-14
00248974,하나제약,293480,KOSPI,True,1248137632,1311110002409,Y,2026-03-14
00249034,드림라인,035430,,False,2208144955,1101111447021,E,2026-03-14
00249247,YG PLUS,037270,KOSPI,True,1208167338,1101111342289,Y,2026-03-14
00249441,씨씨에스,066790,KOSDAQ,True,3038118621,1511110009906,K,2026-03-14
00249502,골드앤에스,035290,KOSDAQ,True,1208163837,1101111100926,K,2026-03-14
00249894,테라젠이텍스,066700,KOSDAQ,True,1338122943,1101110724107,K,2026-03-14
00249982,솔본,035610,KOSDAQ,True,2118607024,1101111064429,K,2026-03-14
00250137,와이어블,065530,KOSDAQ,True,2148612657,1101111359630,K,2026-03-14
00250614,삼영엠텍,054540,KOSDAQ,True,6088127893,1943110005149,K,2026-03-14
00250775,에듀아크,046350,,False,1378101130,1201110063868,E,2026-03-14
00250997,대정화금,120240,KOSDAQ,True,1018118476,1101110510415,K,2026-03-14
00251190,글로웍스,034600,,False,1058142963,1101110712392,E,2026-03-14
00251385,보광티에스,066690,,False,5068128617,1746110032166,E,2026-03-14
00251482,트라이써클,034010,,False,1128141851,1101110848973,E,2026-03-14
00252001,해원에스티,058480,,False,4108134026,2001110065213,E,2026-03-14
00252135,주성엔지니어링,036930,KOSDAQ,True,1248129001,1301110033281,K,2026-03-14
00252269,아이에이,038880,KOSDAQ,True,2118199077,1101110963341,K,2026-03-14
00252375,나노하이텍,071360,,False,1358108234,1301110018382,E,2026-03-14
00252393,예당컴퍼니,049000,,False,1058155599,1101110898423,E,2026-03-14
00252588,엠트론스토리지테크놀로지,046320,,False,2208104803,1101110736194,E,2026-03-14
